Tweet,Sentimen
@TAERIYAKll @GSPEnts wkwk,negatif
"@JpackJack @andhroindian @Kiran_Jupally @gnanodayam @AshokReddyNLG @TG22MA That's fine kani adi katlasindi  ellashwaram dagara project name nandikonda kani DPR change chesi 19km kinda kattaru adi only tg restrict ayina project nizam rule adi na objection.
*Enthaina ma mukku dora bolli gadam gani kante,pavural Gutta gani kante chal nayyam",negatif
"Kader Golkar ini banyak tersandung korupsi, Setya Novanto jangan sampai menjadi ketua DPR",negatif
"KOPRI DPR RI Gelar Hari' Jadi Ke-51 dengan Donor Darah bertempat di Gd.Nusantara III DPR RI pada Selasa, 29 November 2022.

#DonorDarahJakarta #HUTke-51 #KOPRI https://t.co/LbukhuAsSR",Positif
"Ini politis sekali. 

DPD RI itu fungsi dan perannya saja tidak memungkinkan bisa ngapa2in 

Kecuali jika Kedudukan &amp; wewenang @DPDRI  sejajar dgn  @DPR_RI  baru judul ini masuk akal miiiiiiin !
@democrazymedia paham gak sih ??

#lanyalla #spiritlanyalla

https://t.co/j9KyPvhjq5",negatif
"Anggota DPR Minta Kemenag Percepat Pemulihan Madrasah dan Ponpes di Cianjur
https://t.co/a35jhfe75Y",negatif
HYUNJIN DPR IAN MY LOVESSS,Positif
"Anggota DPR Soroti Rencana Pembentukan BLU Batu Bara

https://t.co/ux3OoLPm4k via @beritabaruco @IYA_Juwita @Mirza_Ali_IYA @FraksiPKB",Positif
PAKSHET?!!?!!!??!N? DPR LIVE TAS MSRK OKSY IKAKAMATAY KOOO. NSJHSJUDHSAIOA,negatif
sanaol makikita dpr bukas,negatif
@mancinsurrey @AnnoyedUke @MikkeMus8 @BS22Take2 @loafnw @SnowyinChi @IAINMRODGERS @WINKUWA @p1gl33t @StephenKing Russia defended LPR and DPR,Positif
"#Mug #sablon  cocok bgt buat promo usaha atau pun sebagai souvenir, call : 085725054237 PLUTJogja https://t.co/XHoh20yKYo",negatif
"@ozctober ssttt emg org sakit kan kerjanya marah marah, soalnya kalo kerjaannya abisin uang rakyat itu mah dpr",negatif
Presiden Jokowi Ajukan Nama Ini Sebagai Calon Panglima TNI ke DPR https://t.co/YKQPBtmhwR,Positif
YES HYUNJIN CHOOSING DPR IAN 🤩 YES TO CHRISTIANNNNNN,negatif
dpr gang is here 🥲,negatif
"gue iri bgt sm yg bs nonton cas, keshi, dpr",negatif
@fadlizon @parliamentquds @bksapdpr @DPR_RI Gemess bgt sama pipinya,negatif
Eyyy dpr we gang gang na pala tom 😔🤟,negatif
"Langkah @KejaksaanRI dlm menyita bbrp aset milik terpidana kasus korupsi pengelolaan keuangan dan dana investasi PT Asuransi Jiwasraya 2008-2018 Benny Tjokrosaputro dpt apresiasi dri Wakil Ketua Komisi III @DPR_RI Ahmad Sahroni. Lanjutkan! #KejaksaanTegas
https://t.co/XutUe703Xs",Positif
@stsg_twt Dpr ian and hobi..... 💭,negatif
"em na walang ""dpr we gang gang"" ☺️☺️☺️",negatif
DIKO PADIN MATANGGAP NA DI ME MAKAKA DPR WE GANG GANG BUKAS!!!!!,negatif
"Belakangan argumentasi pemerintah dan DPR soal kritik terhadap pasal bermasalah seragam dan itu-itu saja: “PR selanjutnya sosialisasi ke penegak hukum” 

Lah, kritik selama ini berangkat dari realita penegak hukum yang semena-mena atas peraturan yang ada.",negatif
"Presiden Jokowi Ajukan Calon Tunggal Panglima TNI kepada DPR

Selengkapnya klik dilaman @m_radarnew https://t.co/0mDlPtCgEy",negatif
Nasa pinas na pala ang dpr we gang gang hahahaha ok lng nmn aq 🤥,negatif
@AMIYEAA oiii miraaa jadi nonton dpr gaaakkk,negatif
"@shapire @schfess iya, pengusaha, anggota dpr kalo ngga minimal manager perusahaan (sosro coca cola misalnya) biasanya gampang cair.",negatif
@berriberrichizu GUE BTW JD DENGERIN DPR WE GANG GANG UDAH SEMINGGUAN,negatif
@dhemizzz @tanyakanrl Itu mah jabatan bukan pencapaian prestasi. Beda kali. Kalau jadi ketua DPR mah tergantung pinter2 nya nyari suara,negatif
Anggota DPR Wanti Wanti Pemerintah Jangan Ada Permainan Harga Tiket Transportasi https://t.co/U86fXHQIf2,negatif
@grray jasmine - dpr live,negatif
"Presiden @jokowi ajukan satu calon Panglima TNI kepada DPR

https://t.co/pTJU3UM6uO",Positif
"tuh kan...trus, kemana aliran danax yaa...?!
@DPR_RI (unfaedah)
@KPK_RI",negatif
"@schfess big no, sekolahku pensi dana ngga pernah cair, akhirnya cuma pas bulan bahasa kemarin ada acara aja.
cerita dari temenku yang smp unggulan dulu katanya ada suntikan dana dari ortu (ortunya pengusaha sama anggota dpr) kalo ngga minta sponsor, itu juga ordal ortu.",negatif
dpr please 🥲,Positif
Komisi I DPR Belum Bisa Lakukan Fit and Proper Test Calon Panglima TNI https://t.co/rlWnWpoHfM,Positif
"walang ngang pasok bukas, hindi naman makaka dpr we gang gang",negatif
sana ol makaka dpr we gang gang bukas,negatif
Tak hafal lagi setlist dpr im soooo dead 💀 https://t.co/tIRhak1ff7,negatif
*Presiden @jokowi Ajukan Satu Calon Panglima TNI kepada DPR* https://t.co/XJA3kt0Jcl,Positif
"ANO BAYAN HINDI NA NGA MAKAKAPUNTA SA BETSBUL, PATI BA NAMAN SA DPR",Positif
"Gabung Golkar, Istri Nurdin Abdullah Liestiaty Fachruddin Mantapkan Diri Maju DPR RI di Dapil Sulsel 1 https://t.co/CJlgxxP29h #DapilSulsel1 #DPDRI #IstriNurdinAbdullah #LiestiatyFachruddin",Positif
"DPR Kemungkinan Menggelar Uji Kelayakan dan Kepatutan Calon Panglima TNI Pekan Depan 
https://t.co/rGfvUIbSwv",Positif
WAIT PUTA ANDITO SI DPR WE GANG GANG,negatif
DPR Live ngnotice bujang-bujang NCT knp gk collab aja kalian😭❤️❤️❤️❤️,negatif
DPR WE GANG GANG CUTIE 😭🤘 https://t.co/Ilx2EKWVMP,negatif
"@_DPRLIVE Minimal collab lah  dpr live, dpr ian + mark lee 😭",Positif
@Camlintweets ahamdullah babar badshah bhi parso se groun dpr,negatif
"@Searobers @ssefnum BANYAAK, DPR Ian, Taylor Swift, jvke, J-Pop, stayc, aespa, le sserafim, Meghan Trainor.. masih banyak–",negatif
kawawa naman dpr d nila ko makikkta bukas hays,negatif
"serius nanya ketua DPR itu apa memang legally punya akses main ke kapal selam begini? sipil, tentara bukan, eksekutif bidang pertahanan juga bukan.",negatif
"Kamerun Resmi Keluarkan Kiper Onana Dari Skuad di Piala Dunia 2022

#PialaDunia2022 #kamerun #Bola #sepakbolapialadunia #sepakbola 

https://t.co/YA8QoYLi1U",Positif
nandito na dpr😭,negatif
gua masih pengen dpr regime red 😿 wtb wtb,negatif
Kamu anggota DPR ya? kalo jadi anggota keluarga papaku mau?,Positif
@Syarman59 klu jkw punya masa silahkan buat partai @DPR_RI,negatif
makakapag dpr we gang gang na din tomorrow🥹🥹🥹,negatif
dpr we gang gang,negatif
Lucu bgtt its 2022 tp aku baru tau dpr pernah kirim package ke nct aaaaaaa lucu :( collab dong,negatif
"@nakeclbibi Petamak.

Kalo apa… Kata orang kalo mau ngomong gak lanjut besoknya bakal masuk dikoran",negatif
"@Solivaganst Jangan Pak Haji lah takut kualat, rumah DPR aja. DPR Ian, sekalian caper. :p",negatif
"Diah Tekankan Manajemen Distribusi Bantuan di Cianjur

Wakil Ketua Komisi VIII DPR RI Diah Pitaloka menekankan manajemen distribusi bantuan harus merata bagi korban bencana gempa bumi di Cianjur Jawa Barat.
#PDIPerjuangan
#PDIPerjuanganJabar
#SolidBergerak
https://t.co/eaoGvqkwtY",Positif
"Salam perjuangan
KAMI INSAN KOPERASI
Randudongkal Pemalang
MENOLAK RUU PPSK
KARENA MERUSAK 
DEMOKRASI EKONOMI
#DukungKoperasiTetapdiKemenkop
#CopotMenteriKoperasi
#TolakOJKdiKoperasi 
@jokowi 
@KemenkopUKM 
@KemenkeuRI 
@DPR_RI https://t.co/m60nAgzlhZ",Positif
Deret Pasal Kontroversial RKUHP yang Bakal Disahkan DPR pada Desember https://t.co/Yq1cGhjwyq,Positif
@mxnaone @Undead37692438 @yomasunshine @venusninari @kxr813 @kucingyabu @Askrlfess Krik krik ya,negatif
Wakil Ketua DPR Sufmi Dasco Ahmad menyampaikan uji kelayakan dan kepatutan calon Panglima TNI Laksamana Yudo Margono akan digelar pekan depan. https://t.co/joZLtefeV4,Positif
"Lagi, DPR Papua dan keluarga korban mutilasi minta 6 prajurit TNI diadili di Timika

#PapuanLivesMatter 
#Papua 
https://t.co/4FdKBqiXu6",Positif
dpr we gang gang tomorrow,negatif
mau nyari temen buat nonton dpr kok males bgt yyy,negatif
malungkot na dpr we gang gang for me i guess,negatif
"Ketua Dewan Perwakilan Rakyat Papua Jhony Banua Rouw mengusulkan ada empat kursi DPR untuk setiap dari empat provinsi di wilayah Papua. Dampaknya dinilai besar karena mereka akan menyuarakan aspirasi warga. #Polhuk #AdadiKompas

https://t.co/Oez4fIoTRv",Positif
"Ketua Dewan Perwakilan Rakyat Papua Jhony Banua Rouw mengusulkan ada empat kursi DPR untuk setiap dari empat provinsi di wilayah Papua. Dampaknya dinilai besar karena mereka akan menyuarakan aspirasi warga. #Polhuk #AdadiKompas
https://t.co/egruvqCINQ",Positif
Just started listening to dpr tas malalaman kong may con sila bukas.....tangina 🧍‍♀️,negatif
DPR GAGO BUKAS NA PUTANGINA IIYAK NA AKO BYE,negatif
@eunwoont si kampret wkwkwk,negatif
@eunwoont lu ada request kah,negatif
GUSTO KO RIN MAG DPR WE GANG GANG PUTANGINA WALA AKONG PERA,negatif
ambot nde ko ya ka dpr we gang gang !!!!!,negatif
"rent! aku lagi loyo banget dan butuh tempat cerita, untuk 2 minggu kedepan. adakah bfr yang mau jadi tempat aku pulang? kamu gak perlu kasih saran yang gimana-gimana, cukup ada aja buat nemenin loyoku dan jadi tempat cerita aku. mun 23+, fc DPR i a n",negatif
@CNNIndonesia klu mau jadi pesaing @PDI_Perjuangan silahkan buat partai pak @jokowi @DPR_RI,negatif
